Introduction à Java : sortie écran, types String et int;x
Introduction à Java : variables, méthodes, classes;x
Ton premier programme : saisie clavier, utiliser l'EDI;x
Introduction aux branches et aux boucles;x
Introduction aux classes : écriture de tes propres classes et constructeurs;x
Introduction aux objets : écriture de tes propres objets, durée de vie et variables statiques;x
Tableaux et listes : Array, ArrayList, introduction aux génériques;x
Collections : LinkedList, HashSet, HashMap. Date;x
Introduction aux exceptions : try, catch, throws, multi-catch;
Conversion de types primitifs : conversions avec élargissement et réduction;
